time,cookie_def,necessary_option,necessary_response,necessary_likert,targeting_option,targeting_response,targeting_likert,functional_option,functional_response,functional_likert,performance_option,performance_response,performance_likert,new_term_option,new_term_response,age,gender,edu,tech
116,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,I don't know,Unlikely,functional,Cookies needed for the site to run.,Likely,performance,I don't know,Neutral,necessary,functional,26-35,Woman,4 year degree,No
142,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,advertising,Cookies used to personalize user ad experience.,Very unlikely,preference,Cookies needed to help personalize site services.,Unlikely,performance,Cookies needed to measure and improve site features.,Neutral,necessary,Essential Cookies,26-35,Woman,Professional degree,No
128,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Very likely,targeting,Cookies used to personalize user ad experience.,Very likely,functional,Cookies needed to access premium site content.,Very likely,statistics,Cookies needed to measure and improve site features.,Very likely,necessary,actionary cookies,18-25,Woman,4 year degree,No
68,An extension for the website that adds extra features to the website.,strictly necessary,I don't know,Neutral,targeting,Cookies used to personalize user ad experience.,Likely,functional,I don't know,Neutral,performance,Cookies needed to measure and improve site features.,Neutral,advertising,targeting cookies ,18-25,Woman,4 year degree,No
84,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies needed to make ads appear.,Unlikely,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Unlikely,advertising,Intrustive,36-45,Man,2 year degree,No
182,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Very likely,advertising,Cookies used to personalize user ad experience.,Likely,functional,Cookies needed to help personalize site services.,Very likely,performance,Cookies needed to measure and improve site features.,Likely,performance,performance,46-55,Woman,4 year degree,Yes
66,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,targeting,Cookies used to personalize user ad experience.,Unlikely,preference,Cookies needed to help personalize site services.,Likely,statistics,Cookies needed to measure and improve site features.,Neutral,performance,Statistics,26-35,Man,Some college,No
327,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Neutral,targeting,Cookies needed to collect user location.,Unlikely,preference,Cookies needed to help personalize site services.,Neutral,statistics,Cookies needed to measure and improve site features.,Neutral,advertising,Advertising,36-45,Man,4 year degree,No
176,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Very likely,advertising,Cookies used to personalize user ad experience.,Neutral,functional,Cookies needed to help personalize site services.,Likely,traffic,Cookies needed to measure and improve site features.,Likely,functional,functional cookies,18-25,Man,Some college,No
106,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,strictly necessary,Cookies needed for the site to run.,Likely,targeting,Cookies used to personalize user ad experience.,Unlikely,functional,I don't know,Likely,traffic,I don't know,Likely,performance,performance,26-35,Man,4 year degree,No
136,A small piece of data stored on a computer to keep track of information such as logins or websites the user has visited previously.,basic functionality,Cookies needed to store the user's browsing history.,Neutral,targeting,Cookies needed to collect user location.,Very unlikely,preference,Cookies needed to help personalize site services.,Neutral,traffic,Cookies needed to make the site faster.,Neutral,functional,Functional ,36-45,Man,4 year degree,No
